transaction_id,customer_id,branch_id,channel,transaction_type,amount,currency,timestamp,status
T5051,C1491,B0006,web,transfer,36.35,EUR,2023-01-01 00:25:00,completed
T5052,C1880,B0008,ATM,withdrawal,28.25,USD,2023-01-01 00:25:30,completed
T5053,C1706,B0000,branch,withdrawal,4.91,EUR,2023-01-01 00:26:00,completed
T5054,C1109,B0009,mobile,deposit,47707.58,USD,2023-01-01 00:26:30,completed
T5055,C1736,B0001,mobile,transfer,43.88,USD,2023-01-01 00:27:00,completed
T5056,C1431,B0006,branch,withdrawal,2.74,USD,2023-01-01 00:27:30,completed
T5057,C1838,B0007,ATM,deposit,2.62,EUR,2023-01-01 00:28:00,completed
T5058,C1481,B0009,web,deposit,3.87,EUR,2023-01-01 00:28:30,completed
T5059,C1671,B0003,branch,withdrawal,1.0,USD,2023-01-01 00:29:00,completed
T5060,C1090,B0009,mobile,deposit,11.19,USD,2023-01-01 00:29:30,completed
T5061,C1405,B0004,ATM,deposit,19.97,EUR,2023-01-01 00:30:00,completed
T5062,C1842,B0009,web,withdrawal,4.05,USD,2023-01-01 00:30:30,completed
T5063,C1184,B0005,branch,transfer,59.13,GBP,2023-01-01 00:31:00,completed
T5064,C1244,B0001,mobile,deposit,54.4,USD,2023-01-01 00:31:30,pending
T5065,C1550,B0009,web,transfer,35.0,EUR,2023-01-01 00:32:00,completed
T5066,C1453,B0009,web,deposit,1.0,GBP,2023-01-01 00:32:30,completed
T5067,C1503,B0003,branch,withdrawal,79719.99,EUR,2023-01-01 00:33:00,completed
T5068,C1809,B0002,ATM,payment,1.0,EUR,2023-01-01 00:33:30,completed
T5069,C1516,B0009,branch,payment,12.64,EUR,2023-01-01 00:34:00,completed
T5070,C1548,B0001,ATM,payment,33.9,GBP,2023-01-01 00:34:30,completed
T5071,C1593,B0009,branch,payment,35.08,GBP,2023-01-01 00:35:00,completed
T5072,C1016,B0009,web,payment,2.38,USD,2023-01-01 00:35:30,completed
T5073,C1483,B0000,mobile,deposit,5.97,EUR,2023-01-01 00:36:00,completed
T5074,C1177,B0002,ATM,deposit,2.84,GBP,2023-01-01 00:36:30,completed
T5075,C1302,B0000,ATM,deposit,14.59,USD,2023-01-01 00:37:00,completed
T5076,C1419,B0007,ATM,withdrawal,7.23,GBP,2023-01-01 00:37:30,completed
T5077,C1910,B0005,ATM,deposit,6.11,EUR,2023-01-01 00:38:00,completed
T5078,C1269,B0001,branch,payment,28.71,USD,2023-01-01 00:38:30,completed
T5079,C1093,B0001,ATM,transfer,6.72,USD,2023-01-01 00:39:00,pending
T5080,C1116,B0000,branch,deposit,5.77,USD,2023-01-01 00:39:30,completed
T5081,C1801,B0006,mobile,deposit,44.52,USD,2023-01-01 00:40:00,completed
T5082,C1844,B0003,web,transfer,12.0,USD,2023-01-01 00:40:30,completed
T5083,C1414,B0005,ATM,transfer,54.85,GBP,2023-01-01 00:41:00,completed
T5084,C1455,B0009,ATM,deposit,18.21,EUR,2023-01-01 00:41:30,completed
T5085,C1550,B0002,ATM,payment,4.79,EUR,2023-01-01 00:42:00,completed
T5086,C1061,B0008,web,withdrawal,8.07,GBP,2023-01-01 00:42:30,completed
T5087,C1351,B0003,ATM,deposit,21.13,GBP,2023-01-01 00:43:00,completed
T5088,C1779,B0007,web,withdrawal,29.18,GBP,2023-01-01 00:43:30,completed
T5089,C1377,B0007,mobile,transfer,17.28,EUR,2023-01-01 00:44:00,completed
T5090,C1596,B0003,web,payment,10.33,EUR,2023-01-01 00:44:30,completed
T5091,C1257,B0006,ATM,withdrawal,9.12,GBP,2023-01-01 00:45:00,completed
T5092,C1348,B0006,ATM,transfer,9.92,GBP,2023-01-01 00:45:30,completed
T5093,C1186,B0005,web,withdrawal,50.77,EUR,2023-01-01 00:46:00,pending
T5094,C1093,B0004,ATM,transfer,20.55,USD,2023-01-01 00:46:30,pending
T5095,C1195,B0000,ATM,payment,15.39,EUR,2023-01-01 00:47:00,completed
T5096,C1076,B0006,ATM,withdrawal,43.45,GBP,2023-01-01 00:47:30,pending
T5097,C1080,B0003,branch,transfer,37.05,USD,2023-01-01 00:48:00,completed
T5098,C1883,B0009,branch,withdrawal,16.87,GBP,2023-01-01 00:48:30,completed
T5099,C1124,B0000,web,payment,32.47,GBP,2023-01-01 00:49:00,completed
T5100,C1721,B0008,web,transfer,35.5,GBP,2023-01-01 00:49:30,completed
