transaction_id,customer_id,branch_id,channel,transaction_type,amount,currency,timestamp,status
T5101,C1564,B0005,ATM,deposit,109.43,EUR,2023-01-01 00:50:00,completed
T5102,C1323,B0003,web,deposit,1.0,GBP,2023-01-01 00:50:30,completed
T5103,C1606,B0000,ATM,deposit,17.2,EUR,2023-01-01 00:51:00,completed
T5104,C1324,B0001,mobile,withdrawal,87.45,EUR,2023-01-01 00:51:30,completed
T5105,C1288,B0000,mobile,deposit,5.93,USD,2023-01-01 00:52:00,completed
T5106,C1999,B0006,ATM,transfer,182.28,EUR,2023-01-01 00:52:30,completed
T5107,C1455,B0007,branch,transfer,21.49,USD,2023-01-01 00:53:00,completed
T5108,C1310,B0001,mobile,payment,62.9,EUR,2023-01-01 00:53:30,completed
T5109,C1857,B0008,branch,deposit,60.23,EUR,2023-01-01 00:54:00,completed
T5110,C1513,B0007,branch,payment,54877.73,GBP,2023-01-01 00:54:30,completed
T5111,C1832,B0001,ATM,deposit,79.87,GBP,2023-01-01 00:55:00,completed
T5112,C1137,B0009,ATM,deposit,55.82,EUR,2023-01-01 00:55:30,completed
T5113,C1908,B0008,branch,withdrawal,32.59,USD,2023-01-01 00:56:00,completed
T5114,C1112,B0007,web,transfer,42.08,EUR,2023-01-01 00:56:30,completed
T5115,C1271,B0007,ATM,payment,75.53,EUR,2023-01-01 00:57:00,pending
T5116,C1079,B0008,branch,deposit,1.0,USD,2023-01-01 00:57:30,completed
T5117,C1649,B0002,branch,deposit,133.68,USD,2023-01-01 00:58:00,completed
T5118,C1058,B0009,web,deposit,194.28,GBP,2023-01-01 00:58:30,completed
T5119,C1089,B0002,web,withdrawal,4.25,USD,2023-01-01 00:59:00,completed
T5120,C1358,B0005,branch,deposit,70.71,GBP,2023-01-01 00:59:30,completed
T5121,C1904,B0005,web,payment,44.37,USD,2023-01-01 01:00:00,completed
T5122,C1308,B0005,ATM,transfer,23.78,GBP,2023-01-01 01:00:30,completed
T5123,C1997,B0008,web,payment,85.15,GBP,2023-01-01 01:01:00,completed
T5124,C1204,B0006,mobile,withdrawal,212.04,EUR,2023-01-01 01:01:30,completed
T5125,C1822,B0008,branch,deposit,13.6,USD,2023-01-01 01:02:00,completed
T5126,C1748,B0003,branch,withdrawal,49.47,EUR,2023-01-01 01:02:30,completed
T5127,C1269,B0009,web,deposit,13.28,GBP,2023-01-01 01:03:00,pending
T5128,C1504,B0006,branch,payment,34.68,GBP,2023-01-01 01:03:30,completed
T5129,C1921,B0001,branch,payment,5.89,GBP,2023-01-01 01:04:00,completed
T5130,C1488,B0004,mobile,withdrawal,111.59,EUR,2023-01-01 01:04:30,completed
T5131,C1382,B0003,ATM,withdrawal,86.81,EUR,2023-01-01 01:05:00,completed
T5132,C1804,B0003,web,transfer,113.24,USD,2023-01-01 01:05:30,completed
T5133,C1720,B0009,branch,deposit,103.15,USD,2023-01-01 01:06:00,completed
T5134,C1634,B0005,web,deposit,64.54,EUR,2023-01-01 01:06:30,completed
T5135,C1540,B0009,web,withdrawal,47.25,EUR,2023-01-01 01:07:00,pending
T5136,C1578,B0001,branch,deposit,12.69,EUR,2023-01-01 01:07:30,completed
T5137,C1016,B0006,ATM,payment,53.19,USD,2023-01-01 01:08:00,completed
T5138,C1935,B0007,ATM,withdrawal,117.95,USD,2023-01-01 01:08:30,completed
T5139,C1060,B0005,branch,withdrawal,18.98,EUR,2023-01-01 01:09:00,completed
T5140,C1803,B0005,mobile,transfer,36.84,GBP,2023-01-01 01:09:30,completed
T5141,C1472,B0009,ATM,transfer,311.39,GBP,2023-01-01 01:10:00,completed
T5142,C1175,B0000,branch,transfer,95.83,USD,2023-01-01 01:10:30,completed
T5143,C1811,B0005,web,payment,63.36,GBP,2023-01-01 01:11:00,completed
T5144,C1336,B0000,ATM,transfer,100.88,EUR,2023-01-01 01:11:30,completed
T5145,C1705,B0007,web,payment,41.42,EUR,2023-01-01 01:12:00,completed
T5146,C1604,B0006,mobile,payment,133.33,EUR,2023-01-01 01:12:30,pending
T5147,C1206,B0006,mobile,withdrawal,94276.83,EUR,2023-01-01 01:13:00,completed
T5148,C1197,B0009,ATM,payment,76.27,GBP,2023-01-01 01:13:30,completed
T5149,C1730,B0006,mobile,withdrawal,90.28,EUR,2023-01-01 01:14:00,completed
T5150,C1850,B0001,web,withdrawal,53.63,EUR,2023-01-01 01:14:30,pending
