transaction_id,customer_id,branch_id,channel,transaction_type,amount,currency,timestamp,status
T5201,C1034,B0008,ATM,deposit,70.38,USD,2023-01-01 01:40:00,completed
T5202,C1085,B0003,mobile,payment,91.68,USD,2023-01-01 01:40:30,completed
T5203,C1974,B0008,web,transfer,2.59,GBP,2023-01-01 01:41:00,completed
T5204,C1808,B0001,branch,transfer,155.63,GBP,2023-01-01 01:41:30,completed
T5205,C1706,B0000,branch,transfer,24.08,GBP,2023-01-01 01:42:00,completed
T5206,C1067,B0001,web,transfer,14.71,USD,2023-01-01 01:42:30,completed
T5207,C1898,B0004,ATM,transfer,20.32,GBP,2023-01-01 01:43:00,completed
T5208,C1957,B0005,branch,deposit,23.11,USD,2023-01-01 01:43:30,completed
T5209,C1393,B0002,branch,transfer,78.72,EUR,2023-01-01 01:44:00,completed
T5210,C1884,B0008,mobile,payment,46.63,GBP,2023-01-01 01:44:30,completed
T5211,C1071,B0008,web,transfer,32.21,GBP,2023-01-01 01:45:00,completed
T5212,C1089,B0000,branch,payment,9.21,USD,2023-01-01 01:45:30,pending
T5213,C1140,B0004,branch,payment,37.48,GBP,2023-01-01 01:46:00,completed
T5214,C1828,B0003,branch,transfer,57.14,USD,2023-01-01 01:46:30,completed
T5215,C1028,B0008,web,withdrawal,67.43,USD,2023-01-01 01:47:00,completed
T5216,C1341,B0008,mobile,deposit,17.86,USD,2023-01-01 01:47:30,completed
T5217,C1850,B0001,web,payment,19.04,EUR,2023-01-01 01:48:00,completed
T5218,C1882,B0000,mobile,transfer,29.19,GBP,2023-01-01 01:48:30,completed
T5219,C1552,B0000,web,transfer,81243.7,GBP,2023-01-01 01:49:00,completed
T5220,C1946,B0005,branch,transfer,11.99,GBP,2023-01-01 01:49:30,completed
T5221,C1188,B0008,web,withdrawal,115.58,GBP,2023-01-01 01:50:00,completed
T5222,C1357,B0003,ATM,withdrawal,34.03,GBP,2023-01-01 01:50:30,completed
T5223,C1627,B0007,branch,transfer,13.75,EUR,2023-01-01 01:51:00,pending
T5224,C1616,B0007,web,deposit,49.55,EUR,2023-01-01 01:51:30,completed
T5225,C1819,B0009,web,payment,90390.73,EUR,2023-01-01 01:52:00,completed
T5226,C1434,B0004,web,payment,233.32,EUR,2023-01-01 01:52:30,completed
T5227,C1659,B0003,branch,transfer,37.69,EUR,2023-01-01 01:53:00,completed
T5228,C1711,B0000,mobile,deposit,33.39,EUR,2023-01-01 01:53:30,completed
T5229,C1640,B0003,web,deposit,41.18,USD,2023-01-01 01:54:00,completed
T5230,C1507,B0005,mobile,transfer,100.2,USD,2023-01-01 01:54:30,completed
T5231,C1414,B0009,web,deposit,66.19,GBP,2023-01-01 01:55:00,completed
T5232,C1173,B0008,branch,withdrawal,42.76,GBP,2023-01-01 01:55:30,completed
T5233,C1807,B0001,mobile,transfer,112.11,GBP,2023-01-01 01:56:00,completed
T5234,C1396,B0003,branch,transfer,59.68,GBP,2023-01-01 01:56:30,completed
T5235,C1527,B0009,mobile,withdrawal,108.87,EUR,2023-01-01 01:57:00,completed
T5236,C1337,B0007,branch,deposit,124.89,EUR,2023-01-01 01:57:30,completed
T5237,C1968,B0004,web,payment,151.61,USD,2023-01-01 01:58:00,completed
T5238,C1929,B0001,ATM,withdrawal,179.51,EUR,2023-01-01 01:58:30,pending
T5239,C1097,B0009,web,withdrawal,10.34,GBP,2023-01-01 01:59:00,completed
T5240,C1938,B0001,branch,payment,6.35,USD,2023-01-01 01:59:30,completed
T5241,C1601,B0007,mobile,transfer,196.69,USD,2023-01-01 02:00:00,completed
T5242,C1002,B0009,ATM,withdrawal,36.38,EUR,2023-01-01 02:00:30,completed
T5243,C1643,B0008,ATM,withdrawal,141.5,GBP,2023-01-01 02:01:00,completed
T5244,C1723,B0004,branch,deposit,5.98,EUR,2023-01-01 02:01:30,pending
T5245,C1795,B0000,web,withdrawal,131.72,EUR,2023-01-01 02:02:00,completed
T5246,C1287,B0007,mobile,deposit,10.14,GBP,2023-01-01 02:02:30,pending
T5247,C1094,B0002,ATM,deposit,96.03,USD,2023-01-01 02:03:00,completed
T5248,C1627,B0009,mobile,payment,129.33,USD,2023-01-01 02:03:30,completed
T5249,C1979,B0008,web,deposit,27.38,EUR,2023-01-01 02:04:00,completed
T5250,C1146,B0004,ATM,transfer,20.3,USD,2023-01-01 02:04:30,completed
